"event_id","disaster_type","location","severity_level","estimated_damage","affected_population"
19893,"Earthquake","Japan",10,14305487.12,57397
5518,"Wildfire","Turkey",10,11979649.24,55164
19901,"Hurricane","Philippines",10,8349854.94,45855
14792,"Wildfire","USA",10,7455822.4,42441
19905,"Landslide","Japan",10,4806958.65,52734
16573,"Volcanic Eruption","Italy",10,11371751.79,55936
19912,"Hurricane","India",10,10082420.03,48916
14793,"Landslide","India",10,7909145.19,42012
13265,"Wildfire","Indonesia",10,7944813.28,38290
19927,"Landslide","Philippines",10,10797246.92,40228
19928,"Volcanic Eruption","USA",10,8591172.6,38423
19929,"Drought","Turkey",10,14513943.84,55989
13479,"Earthquake","Indonesia",10,13212874.01,49215
6648,"Flood","Japan",10,14233426.98,57203
16607,"Flood","Turkey",10,3508738.24,39618
6649,"Landslide","Chile",10,6870796.45,41048
14803,"Wildfire","Japan",10,4721300.69,49111
14806,"Wildfire","India",10,11584691.48,41051
19964,"Volcanic Eruption","India",10,10860640.48,47035
1624,"Wildfire","Japan",10,7721423.05,38242
14815,"Landslide","Turkey",10,6928098.29,43033
14819,"Wildfire","Japan",10,9401788.35,45301
591,"Earthquake","Turkey",10,7874557.96,49323
6655,"Volcanic Eruption","Philippines",10,10949776.88,50616
19986,"Volcanic Eruption","Japan",10,11180534.25,50563
6659,"Hurricane","Italy",10,10953551.28,55730
6666,"Earthquake","Italy",10,9082287.17,36831
13944,"Drought","Italy",10,14232270.22,56160
16626,"Wildfire","USA",10,12160324.37,48086
5534,"Hurricane","Turkey",10,3813229.34,37792
6677,"Landslide","Turkey",10,8593852.66,51053
1822,"Earthquake","Chile",10,12047671.25,53010
13484,"Volcanic Eruption","Philippines",10,4266096.12,42786
6686,"Flood","USA",10,2497524.86,48016
6698,"Earthquake","India",10,1831457.31,32759
592,"Wildfire","Chile",10,13787943.64,50363
5540,"Landslide","Chile",10,9511460.08,50988
727,"Landslide","Indonesia",10,13259066.74,46590
6707,"Earthquake","USA",10,5714912.65,47215
4690,"Flood","Indonesia",10,11058136.52,41555
2261,"Flood","India",10,5831239.56,46046
6710,"Volcanic Eruption","Indonesia",10,12202604.71,41307
16660,"Flood","Italy",10,4719615.06,57693
5017,"Drought","Indonesia",10,4825707.89,62815
2267,"Volcanic Eruption","USA",10,8845567.57,47497
5544,"Landslide","Japan",10,14294131.57,48294
14839,"Landslide","USA",10,7990237.17,38825
6725,"Earthquake","Chile",10,9171354.22,35275
44,"Volcanic Eruption","Indonesia",10,8302754.94,47569
13955,"Earthquake","India",10,10941353.76,57149
6739,"Landslide","USA",10,7701089.63,42306
16674,"Hurricane","Indonesia",10,14905544.82,50863
16675,"Flood","India",10,12574128.11,51063
14842,"Drought","Italy",10,6618934.65,56169
14843,"Drought","India",10,10203349.53,34733
741,"Flood","Japan",10,8420250.47,28263
14849,"Volcanic Eruption","Chile",10,3877219.86,39777
16683,"Earthquake","India",10,11889032.39,51678
5551,"Wildfire","Indonesia",10,13362238.79,53319
16692,"Wildfire","Japan",10,4575206.36,58559
16698,"Landslide","Italy",10,10152523.35,44458
2287,"Drought","Indonesia",10,10597922.47,38817
13959,"Volcanic Eruption","Philippines",10,12613430.26,56896
6791,"Hurricane","USA",10,10423308.84,50507
13965,"Flood","USA",10,4143312.93,44814
16712,"Earthquake","India",10,3136320.08,50553
6798,"Wildfire","Philippines",10,11250412.08,43712
2291,"Volcanic Eruption","USA",10,4797236.85,34359
16715,"Earthquake","Indonesia",10,7891421.41,56971
2296,"Hurricane","India",10,6668705.54,55074
6811,"Wildfire","Italy",10,12128222.64,58585
455,"Flood","USA",10,12414174.82,60445
6819,"Drought","Turkey",10,2734344.51,48781
2306,"Volcanic Eruption","Philippines",10,11788763.7,47653
16722,"Hurricane","Chile",10,12796784.47,45519
6834,"Earthquake","Chile",10,9666329.05,40546
2310,"Volcanic Eruption","USA",10,8190879.78,41383
6842,"Flood","Turkey",10,7992612.4,54902
6844,"Flood","Japan",10,4288588.95,49448
5558,"Wildfire","Turkey",10,4984222.31,59823
488,"Hurricane","Chile",10,12264656.26,49550
2311,"Landslide","Indonesia",10,14550800.42,51970
6853,"Hurricane","Chile",10,7758254.74,54387
14865,"Hurricane","India",10,15881377.06,53282
2312,"Wildfire","USA",10,3990604.59,54215
6863,"Volcanic Eruption","Philippines",10,5079788.85,36172
5572,"Earthquake","Turkey",10,4546484.46,34152
5580,"Volcanic Eruption","India",10,9544496.72,56664
752,"Earthquake","Japan",10,2888787.85,55402
6338,"Flood","USA",10,15307164.56,53726
4789,"Flood","Japan",10,5881498.25,63257
6891,"Wildfire","India",10,9924711.18,43429
16744,"Landslide","Turkey",10,4372018.05,47784
6896,"Landslide","Chile",10,5871318.82,40742
14873,"Flood","India",10,8041412.35,39388
14876,"Hurricane","Philippines",10,10182851.39,42821
6901,"Earthquake","India",10,10913248.06,53107
5586,"Earthquake","Indonesia",10,6935346.62,39086
6908,"Volcanic Eruption","Chile",10,3963588.58,63412
2330,"Hurricane","USA",10,4447258.78,53995
13270,"Earthquake","Turkey",10,5952095.83,60027
6920,"Earthquake","Chile",10,9114154.04,38884
6927,"Landslide","Indonesia",10,3496740.37,44260
14882,"Flood","Turkey",10,6937172.0,60566
763,"Landslide","Philippines",10,9240431.4,53295
6937,"Landslide","Turkey",10,10323516.46,45048
5592,"Volcanic Eruption","India",10,15941061.19,53840
6940,"Landslide","USA",10,12859995.82,46210
14885,"Wildfire","Philippines",10,10263401.42,53233
14886,"Volcanic Eruption","Indonesia",10,6990352.13,57535
16768,"Landslide","Indonesia",10,14529573.97,48506
6949,"Hurricane","India",10,14589459.9,48645
4613,"Hurricane","Italy",10,5248453.54,53615
5596,"Volcanic Eruption","Indonesia",10,5006090.34,38388
6959,"Volcanic Eruption","Indonesia",10,4573376.29,54310
16775,"Wildfire","Philippines",10,8862526.75,47385
5606,"Volcanic Eruption","Chile",10,3040027.08,60527
14890,"Drought","Japan",10,12799403.04,55459
1832,"Drought","Turkey",10,4043974.05,48810
16787,"Landslide","USA",10,5564191.13,47542
767,"Landslide","Italy",10,3181350.59,45735
1601,"Wildfire","Philippines",10,6857126.44,45450
770,"Landslide","Indonesia",10,8891658.72,45596
13277,"Earthquake","Japan",10,12856494.79,44702
16791,"Volcanic Eruption","Indonesia",10,4041452.39,46928
6987,"Landslide","India",10,12463880.28,42979
16792,"Flood","Chile",10,13458474.51,48711
6990,"Wildfire","Turkey",10,4407798.4,45839
489,"Hurricane","Italy",10,2994148.45,50510
784,"Drought","USA",10,9892833.95,56841
2376,"Flood","Philippines",10,10203782.86,68806
16794,"Volcanic Eruption","Chile",10,14296044.83,66074
7003,"Earthquake","India",10,6891508.87,43894
14900,"Hurricane","India",10,10243351.12,60510
7009,"Earthquake","Indonesia",10,11692572.45,65660
16798,"Drought","Turkey",10,5784140.04,50524
7021,"Earthquake","Turkey",10,10423446.56,54619
16800,"Landslide","Italy",10,3604271.34,48043
1538,"Wildfire","USA",10,3121925.59,48754
2380,"Flood","Indonesia",10,5339222.02,40531
16807,"Earthquake","Italy",10,3667837.12,50340
7036,"Wildfire","Turkey",10,18504018.17,73339
788,"Volcanic Eruption","Chile",10,6939781.38,43228
14905,"Earthquake","Turkey",10,5545981.72,49971
16819,"Wildfire","Philippines",10,9895282.87,41214
7051,"Drought","Philippines",10,6833886.11,54472
7052,"Wildfire","Turkey",10,3349802.2,52478
14908,"Wildfire","Indonesia",10,3967077.25,39772
7055,"Volcanic Eruption","Chile",10,17101391.9,57082
14909,"Landslide","India",10,10970316.59,48167
471,"Earthquake","Italy",10,10303099.14,41272
16838,"Landslide","Italy",10,3431460.96,67315
16839,"Wildfire","Turkey",10,7721469.83,58860
16840,"Wildfire","USA",10,8332600.52,52679
7068,"Wildfire","Japan",10,10721919.36,42457
2383,"Volcanic Eruption","India",10,1964031.09,35856
4798,"Flood","USA",10,4421316.13,50571
5614,"Landslide","Turkey",10,11912049.53,49700
791,"Wildfire","India",10,10331179.85,45962
13998,"Earthquake","Japan",10,4970150.16,52576
7086,"Flood","Italy",10,12072045.61,58403
2388,"Hurricane","Chile",10,5497934.15,39414
16848,"Earthquake","Italy",10,10368295.18,37149
16849,"Drought","USA",10,6516277.36,39710
14918,"Earthquake","USA",10,8663161.6,45352
7100,"Landslide","India",10,13445610.23,46088
7104,"Drought","USA",10,4701404.31,50695
2405,"Wildfire","Chile",10,4143537.5,43335
14925,"Hurricane","Turkey",10,10863013.08,54414
2406,"Landslide","Philippines",10,6880241.8,36555
7132,"Hurricane","Chile",10,3929991.58,53576
811,"Hurricane","Chile",10,11105413.17,57446
14933,"Earthquake","USA",10,4259096.72,27679
5619,"Volcanic Eruption","Chile",10,1970598.17,37612
7139,"Flood","Philippines",10,7145256.14,43030
2413,"Wildfire","Philippines",10,10975981.1,50696
815,"Drought","USA",10,9923546.97,54356
16860,"Volcanic Eruption","Philippines",10,7458409.18,39696
14939,"Wildfire","Philippines",10,15490352.76,62485
7153,"Drought","USA",10,15020775.72,55051
7159,"Landslide","Italy",10,6037291.99,38521
7161,"Landslide","Indonesia",10,5350172.86,51297
16863,"Earthquake","Japan",10,7943239.2,50686
14940,"Earthquake","Italy",10,2775862.79,48943
816,"Drought","Turkey",10,8817100.52,46075
5032,"Earthquake","Italy",10,9869795.39,55300
7175,"Landslide","Philippines",10,10436983.78,45283
14001,"Flood","Turkey",10,7075654.56,58381
14002,"Earthquake","USA",10,3177070.38,46263
